MarketWeek,Open,High,Low,Close,week_start
1,249.559998,253.110001,243.669998,252.389999,2018-12-31
2,252.690002,259.160004,251.690002,258.980011,2019-01-07
3,256.859985,266.980011,256.410004,266.459991,2019-01-14
4,264.820007,266.700012,260.660004,265.779999,2019-01-22
5,263.390015,271.200012,261.790009,270.059998,2019-01-28
6,270.109985,273.440002,267.829987,270.470001,2019-02-04
7,271.200012,277.410004,270.029999,277.369995,2019-02-11
8,276.480011,279.359985,276.350006,279.140015,2019-02-19
9,280.730011,281.309998,277.480011,280.420013,2019-02-25
10,281.600006,281.869995,272.420013,274.459991,2019-03-04
11,275.26001,282.380005,275.230011,281.309998,2019-03-11
12,281.549988,285.179993,279.179993,279.25,2019-03-18
13,278.869995,282.839996,277.640015,282.480011,2019-03-25
14,284.700012,288.630005,284.399994,288.570007,2019-04-01
15,288.100006,290.470001,286.700012,290.160004,2019-04-08
16,290.23999,291.429993,288.660004,290.019989,2019-04-15
17,289.170013,293.48999,289.070007,293.410004,2019-04-22
18,293.51001,294.950012,289.519989,294.029999,2019-04-29
19,289.25,293.309998,282.299988,288.100006,2019-05-06
20,282.420013,289.209991,279.929993,285.839996,2019-05-13
21,284.059998,286.929993,280.570007,282.779999,2019-05-20
22,283.089996,284.149994,275.23999,275.269989,2019-05-28
23,275.309998,288.850006,273.089996,287.649994,2019-06-03
24,289.369995,291.399994,287.820007,289.26001,2019-06-10
25,289.519989,296.309998,289.179993,294,2019-06-17
26,294.230011,294.579987,290.350006,293,2019-06-24
27,296.679993,298.820007,294.329987,298.459991,2019-07-01
28,297.01001,300.730011,295.480011,300.649994,2019-07-08
29,301.130005,301.130005,296.700012,297.170013,2019-07-15
30,297.609985,302.230011,297.040009,302.01001,2019-07-22
31,301.880005,302.01001,290.899994,292.619995,2019-07-29
32,288.089996,293.619995,281.720001,291.619995,2019-08-05
33,289.959991,294.149994,282.390015,288.850006,2019-08-12
34,292.190002,293.929993,283.470001,284.850006,2019-08-19
35,287.269989,294.23999,285.25,292.450012,2019-08-26
36,290.570007,298.829987,289.269989,298.049988,2019-09-03
37,299.140015,302.459991,295.970001,301.089996,2019-09-09
38,299.839996,302.630005,297.410004,298.279999,2019-09-16
39,297.549988,299.839996,293.690002,295.399994,2019-09-23
40,295.970001,298.459991,284.820007,294.350006,2019-09-30
41,293.470001,298.73999,288.48999,296.279999,2019-10-07
42,295.929993,300.23999,295.570007,297.970001,2019-10-14
43,299.420013,302.200012,298.5,301.600006,2019-10-21
44,302.940002,306.190002,301.730011,306.140015,2019-10-28
45,307.850006,309.649994,306.059998,308.940002,2019-11-04
46,307.420013,311.839996,307.269989,311.790009,2019-11-11
47,311.529999,312.690002,309.059998,310.959991,2019-11-18
48,311.980011,315.480011,311.980011,314.309998,2019-11-25
49,314.589996,315.309998,307.130005,314.869995,2019-12-02
50,314.440002,318.670013,312.809998,317.320007,2019-12-09
51,319.220001,321.970001,317.25,320.730011,2019-12-16
52,321.589996,323.799988,320.899994,322.859985,2019-12-23
53,322.950012,324.890015,320.149994,322.410004,2019-12-30
54,320.48999,327.459991,320.359985,325.709991,2020-01-06
55,326.390015,332.179993,325.920013,331.950012,2020-01-13
56,330.899994,332.950012,327.359985,328.769989,2020-01-21
57,323.029999,328.630005,320.730011,321.730011,2020-01-27
58,323.350006,334.190002,323.220001,332.200012,2020-02-03
59,331.230011,338.119995,331.190002,337.600006,2020-02-10
60,336.51001,339.079987,332.579987,333.480011,2020-02-18
61,323.140015,333.559998,285.54,296.26,2020-02-24
62,298.209991,313.839996,290.230011,297.459991,2020-03-02
63,275.299988,288.51001,247.679993,269.320007,2020-03-09
64,241.179993,256.899994,228.020004,229.399994,2020-03-16
65,228.190002,262.799988,218.259995,254,2020-03-23
66,255.699997,263.329987,243.9,248.19,2020-03-30
67,257.84,NA,NA,NA,2020-04-06
